nm,pres_stat,bnf_code
Hydrogel sheet without adhesive border 7.5cm x 15cm rectangular,4,20031200051
Alginate dressing sterile impregnated with honey 10cm x 10cm square,4,20031700090
Silk briefs 10-12 years,2,20200000135
Candesartan 4mg/5ml oral suspension,1,0205052C0AAAIAI
Candesartan 8mg/5ml oral suspension,1,0205052C0AAAJAJ
Candesartan 8mg/5ml oral solution,1,0205052C0AAAJAJ
Carbimazole 1.25mg/5ml oral solution,1,0602020D0AAAVAV
Carbimazole 1.25mg/5ml oral suspension,1,0602020D0AAAVAV
Medroxyprogesterone 10mg/5ml oral solution,1,0803020H0AAARAR
Medroxyprogesterone 10mg/5ml oral suspension,1,0803020H0AAARAR
Meloxicam 7.5mg/5ml oral suspension,1,1001010AAAAAHAH
Melatonin 6mg/5ml oral solution,1,0401010ADAABWBW
Melatonin 6mg/5ml oral suspension,1,0401010ADAABWBW
Sodium chloride 3% eye drops,1,1108010K0AACBCB
Diltiazem 0.4% cream,1,0107010AAAAAIAI
Fluoxetine 2mg/5ml oral solution,1,0403030E0AAAIAI
Fluoxetine 2mg/5ml oral suspension,1,0403030E0AAAIAI
Ranitidine 12mg/5ml oral solution,1,0103010T0AABNBN
Ranitidine 12mg/5ml oral suspension,1,0103010T0AABNBN
Salicylic acid 3% ointment,1,1305020S0AAAJAJ
Ciclosporin 2% eye ointment,1,1108010AAAAAIAI
Lisinopril 14mg/5ml oral solution,1,0205051L0AAATAT
Lisinopril 14mg/5ml oral suspension,1,0205051L0AAATAT
Indometacin 5mg/5ml oral suspension,1,1001010K0AABABA
Indometacin 5mg/5ml oral solution,1,1001010K0AABABA
Candesartan 4mg/5ml oral solution,1,0205052C0AAAIAI
Glycopyrronium bromide 650micrograms/5ml oral suspension,1,0102000L0AAATAT
Glycopyrronium bromide 650micrograms/5ml oral solution,1,0102000L0AAATAT
Menthol 0.25% in Aqueous cream,1,1303000AAAAAIAI
Mercaptamine 0.55% eye drops,1,1108010A0AAACAC
Omeprazole 6.8mg/5ml oral solution,1,0103050P0AABKBK
Absorbent cellulose dressing with fluid repellent backing 17cm x 19cm sacral,4,20030100353
Absorbent cellulose dressing with fluid repellent backing 22cm x 23cm sacral,4,20030100354
Omeprazole 6.8mg/5ml oral suspension,1,0103050P0AABKBK
Absorbent cellulose dressing with fluid repellent backing 60cm x 70cm,4,20030100359
Pregabalin 25mg/5ml oral solution,1,0408010AEAAAMAM
Pregabalin 25mg/5ml oral suspension,1,0408010AEAAAMAM
Soft silicone wound contact dressing sterile 35cm x 60cm,4,20030900084
Generic Octenilin irrigation solution 350ml bottles,4,21160000120
Elasticated viscose stockinette knee socks small child 0-1,4,20090001011
Elasticated viscose stockinette knee socks medium child 1-2,4,20090001012
Elasticated viscose stockinette knee socks large child 2-4,4,20090001013
Elasticated viscose stockinette knee socks small adult 4-6,4,20090001014
Elasticated viscose stockinette knee socks medium adult 6-8,4,20090001015
Elasticated viscose stockinette knee socks large adult 8-11,4,20090001016
Elasticated viscose stockinette knee socks extra large adult 11+,4,20090001017
Light compression bandage 8cm x 6m,2,20020201093
Light compression bandage 12cm x 6m,2,20020201094
Light compression bandage 8cm x 7.3m,2,20020201103
Light compression bandage 12cm x 7.3m,2,20020201104
Cohesive bandage 8cm x 7.5m,2,20020201105
Cohesive bandage 12cm x 7.5m,2,20020201106
Cohesive bandage 8cm x 10.5m,2,20020201107
Cohesive bandage 12cm x 10.5m,2,20020201108
Polyamide and cellulose contour bandage 5cm x 4m,4,20020200760
Polyamide and cellulose contour bandage 7.5cm x 4m,4,20020200761
Polyamide and cellulose contour bandage 15cm x 4m,4,20020200763
Bisacodyl 5mg/5ml rectal solution,1,0106020C0AAAPAP
Capillary action absorbent wound dressing 5cm x 15cm,2,20030200146
Gentamicin 1.5% eye drops preservative free,1,1103010G0AAAKAK
Pioglitazone 15mg/5ml oral suspension,1,0601023B0AAAEAE
Azathioprine 250mg/5ml oral solution,1,0802010G0AACGCG
Azathioprine 250mg/5ml oral suspension,1,0802010G0AACGCG
Primidone 30mg/5ml oral suspension,1,0408010U0AAASAS
Pilocarpine hydrochloride 1% eye drops preservative free,1,1106000X0AAASAS
Potassium chloride 500mg/5ml oral solution,1,0902011U0AABIBI
Lansoprazole 11mg/5ml oral solution,1,0103050L0AAAUAU
Prednisolone sodium phosphate 0.003% eye drops,1,1104010S0AAALAL
Lansoprazole 11mg/5ml oral suspension,1,0103050L0AAAUAU
Esomeprazole 40mg/5ml oral suspension,1,0103050E0AAADAD
Topiramate 16mg/5ml oral solution,1,040801050AABTBT
Ranitidine 11.4mg/5ml oral solution,1,0103010T0AABPBP
Topiramate 16mg/5ml oral suspension,1,040801050AABTBT
Ranitidine 11.4mg/5ml oral suspension,1,0103010T0AABPBP
Rosuvastatin 20mg/5ml oral suspension,1,0212000AAAAAEAE
Theophylline 120mg/5ml oral solution,1,0301030S0AABFBF
Theophylline 120mg/5ml oral suspension,1,0301030S0AABFBF
Theophylline 175mg/5ml oral suspension,1,0301030S0AABGBG
Salicylic acid 15% in Clobetasol 0.05% ointment,1,1304000G0AACLCL
Theophylline 175mg/5ml oral solution,1,0301030S0AABGBG
Finasteride 5mg/5ml oral suspension,1,0604020C0AAACAC
Lamotrigine 1.7mg/5ml oral solution,1,0408010H0AABSBS
Lamotrigine 1.7mg/5ml oral suspension,1,0408010H0AABSBS
Beclometasone 0.025% in Aqueous cream,1,1304000C0AACFCF
Generic Fresubin 1800 Complete liquid,4,090402000BBSLA0
Generic Fresubin 1500 Complete liquid,4,090402000BBSMA0
Dithranol 1% in Zinc and Salicylic acid paste,1,1305020F0AAEQEQ
Clopidogrel 25mg/5ml oral suspension,1,0209000C0AAADAD
Generic Cutisorb Ultra dressing 10cm x 10cm square,4,20031700091
Generic Cutisorb Ultra dressing 10cm x 20cm rectangular,4,20031700093
Generic Cutisorb Ultra dressing 20cm x 20cm square,4,20031700092
Generic Cutisorb Ultra dressing 20cm x 30cm rectangular,4,20031700094
Betamethasone valerate 0.1% ointment 20% in White soft paraffin,1,1304000F0AADXDX
Formaldehyde 2% solution,1,1307000C0AAAHAH
Hyoscine butylbromide 4.9mg/5ml oral solution,1,0102000N0AAANAN
Topiramate 67.5mg/5ml oral solution,1,040801050AABUBU
Topiramate 67.5mg/5ml oral suspension,1,040801050AABUBU
Lidocaine 1% ointment,1,1502010I0AAAHAH
Simvastatin 25mg/5ml oral solution,1,0212000Y0AAAPAP
Simvastatin 25mg/5ml oral suspension,1,0212000Y0AAAPAP
Mesalazine 500mg/5ml oral solution,1,0105010B0AAAVAV
Mesalazine 500mg/5ml oral suspension,1,0105010B0AAAVAV
Topiramate 15mg/5ml oral solution,1,040801050AABVBV
Glycopyrronium bromide 4% cream,1,1312000G0AAATAT
Topiramate 15mg/5ml oral suspension,1,040801050AABVBV
Glycopyrronium bromide 1% cream,1,1312000G0AAAMAM
Generic CCS Foot Care cream,4,130201000BBDRA0
Risperidone 125micrograms/5ml oral solution,1,040201030AAARAR
Ketamine 30mg/5ml oral solution,1,0406000W0AAAKAK
Midazolam 12.5mg/5ml oral solution,1,0408020V0AAAEAE
Midazolam 12.5mg/5ml oral suspension,1,0408020V0AAAEAE
Valproic acid 500mg/5ml oral solution,1,040801020AAAGAG
Valproic acid 500mg/5ml oral suspension,1,040801020AAAGAG
Sodium chloride 6.5% eye drops preservative free,1,1108010K0AACDCD
Glyceryl trinitrate 1% ointment,1,0107040A0AAARAR
Generic Neocate Nutra powder gluten free,4,090401000BBPPA0
Generic GlucOsamine gel,4,190205500BCFYA0
Nadolol 30mg/5ml oral solution,1,0204000M0AAAFAF
Nadolol 30mg/5ml oral suspension,1,0204000M0AAAIAI
Tolterodine 4mg/5ml oral solution,1,0704020N0AAAGAG
Tolterodine 4mg/5ml oral suspension,1,0704020N0AAAGAG
Tolterodine 1mg/5ml oral suspension,1,0704020N0AAAHAH
Tolterodine 1mg/5ml oral solution,1,0704020N0AAAHAH
Naltrexone 5mg/5ml oral solution,1,0410030E0AAAVAV
Naltrexone 5mg/5ml oral suspension,1,0410030E0AAATAT
Lansoprazole 22mg/5ml oral solution,1,0103050L0AAAVAV
Lansoprazole 22mg/5ml oral suspension,1,0103050L0AAAVAV
Quetiapine 6.25mg/5ml oral suspension,1,0402010ABAAAZAZ
Quetiapine 6.25mg/5ml oral solution,1,0402010ABAAAZAZ
Generic DocOmega oral powder 4g sachets,4,090401000BBPQA0
Generic Complete Amino Acid Mix powder,4,090401000BBHHA0
Vapour-permeable adhesive film dressing with absorbent pad 6.5cm x 5cm,4,20030100248
Silicone gel sheet 3.75cm x 22.5cm rectangular,4,20031300067
Silicone gel sheet 7.5cm diameter shaped,4,20031300068
Silicone gel sheet 22.5cm x 14.5cm shaped,4,20031300069
Risedronate sodium 35mg/5ml oral solution,1,0606020R0AAAEAE
Risedronate sodium 35mg/5ml oral suspension,1,0606020R0AAAEAE
Neostigmine 30mg/5ml oral solution,1,1002010M0AAANAN
Glimepiride 2mg/5ml oral solution,1,0601021A0AAAGAG
Glimepiride 2mg/5ml oral suspension,1,0601021A0AAAGAG
Pilocarpine hydrochloride 0.5% eye drops preservative free,1,1106000X0AABGBG
Nadolol 20mg/5ml oral solution,1,0204000M0AAAGAG
Nadolol 20mg/5ml oral suspension,1,0204000M0AAAHAH
Generic GlucOsamax Extra tablets,4,091200000BFNKA0
Gentamicin 1.9% eye drops preservative free,1,1103010G0AAAMAM
Chlordiazepoxide 2.5mg/5ml oral solution,1,0401020E0AAAYAY
Chlordiazepoxide 2.5mg/5ml oral suspension,1,0401020E0AAAYAY
Polyamide and cellulose contour bandage knitted BP 1988 7.5cm x 4m,1,20020200816
Polyamide and cellulose contour bandage BP 1988 4cm x 4m,1,20020200485
Tocofersolan 50mg/ml oral solution sugar free,1,0906050U0AAAAAA
Clozapine 100mg/5ml oral solution,1,0402010C0AAAFAF
Clozapine 100mg/5ml oral suspension,1,0402010C0AAAFAF
Baclofen 15mg/5ml oral suspension,1,1002020C0AABEBE
Baclofen 15mg/5ml oral solution,1,1002020C0AABEBE
Calamine and Coal tar ointment,1,1305020C0AAACAC
White soft paraffin 75% / Liquid paraffin 25% ointment,1,130201000AACWCW
Liquid paraffin light eye drops,1,1108010L0AAACAC
Liquid paraffin eye drops,1,1108010L0AAAAAA
Coal tar paste,1,1305020C0AAFEFE
Catheter disposable collection bag,4,21012200135
Cavity dressing 15cm x 2cm,2,20030800128
Cavity dressing 15cm x 15cm,4,20030800129
Sodium polyacrylate cellulose dressing 20cm x 30cm rectangular,2,20031700095
Generic Balneum cream,4,21220000206
Tipranavir 100mg/ml oral solution sugar free,1,0503010ABAAABAB
Generic Trufree gluten free potato & vegetable quick snack,4,0904010AGAAAAAA
Generic Nutrigen Vitamixin Sprinkles oral powder 1g sachets sugar free,4,091000000BBVPA0
Generic Nutrigen Ferromixin Sprinkles oral powder 1g sachets sugar free,4,091000000BBVNA0
Generic ProZero liquid sugar free,4,090401000BBPRA0
Generic Pigmanorm cream,4,1315000G0BLAAA0
Generic Aknicare cream,4,21350000100
Generic Aknicare lotion,4,21350000101
Generic Aknicare SR skin roller,4,21350000102
Sodium methyl acrylate dressing 10cm x 10cm,2,20032300003
Sodium methyl acrylate dressing 30cm x 20cm,2,20032300004
Soft silicone wound contact dressing sterile 6cm x 7cm,4,20030900040
Soft silicone wound contact dressing sterile 9cm x 10cm,4,20030900041
Soft silicone wound contact dressing sterile 13cm x 15cm,4,20030900042
Soft silicone wound contact dressing sterile 24cm x 27.5cm,4,20030900043
Nicotine 15mg/16 hours transdermal patches and Nicotine 2mg medicated chewing gum sugar free,1,0410020B0AABUBU
Sodium bicarbonate 420mg/5ml (1mmol/ml) oral solution sugar free,1,0101012B0AAABAB
Generic MSUD Anamix Junior LQ liquid,4,090401000BBPTA0
Potassium permanganate 0.01% solution,1,1311060Q0AAALAL
Cavity dressing 2.5cm x 30.5cm,4,20030800160
Generic Silvercel non-adherent dressing 5cm x 5cm square,4,20031700120
Generic Silvercel non-adherent dressing 11cm x 11cm square,4,20031700121
Generic Silvercel non-adherent dressing 10cm x 20cm rectangular,4,20031700122
Paraldehyde 50% in Olive oil rectal solution,1,0408020Q0AAAJAJ
Sterile subcutaneous drug delivery device 60cm tubing 8mm needle 29gauge,4,21010900714
Sterile subcutaneous drug delivery device 60cm tubing 10mm needle 29gauge,4,21010900715
Sterile subcutaneous drug delivery device 110cm tubing 8mm needle 27gauge,4,21010900716
Sterile subcutaneous drug delivery device 110cm tubing 8mm needle 29gauge,4,21010900717
Sterile subcutaneous drug delivery device 110cm tubing 10mm needle 27gauge,4,21010900718
Sterile subcutaneous drug delivery device 110cm tubing 10mm needle 29gauge,4,21010900719
Low protein gluten free cheese,4,0904010AFAAAAAA
Gluten free rice bran,4,090401070AAAJAJ
Coal tar solution 5% cutaneous emulsion,1,1305020C0AACXCX
Spare mouthpiece and cork for inhaler,2,21011000110
Cavity dressing 2cm x 30.4cm,4,20030800070
Transparent absorbent acrylic dressing with adhesive border 14.9cm x 15.2cm rectangular,4,20032400004
Transparent absorbent acrylic dressing with adhesive border 20cm x 20.3cm rectangular,4,20032400005
Transparent absorbent acrylic dressing with adhesive border 16.8cm x 19cm sacral,4,20032400006
Paraffin hard MP 45-50C solid,1,1301010P0AAACAC
Generic Potter's Dermacreme ointment,4,131005000BBCHA0
Salicylic acid 12.5% ointment,1,1307000M0AABPBP
Bimatoprost 100micrograms/ml eye drops,1,1106000AFAAABAB
Methyl salicylate 70mg/g topical solution,1,1003020N0AABBBB
Generic TYR Anamix Junior LQ liquid gluten free,4,090401000BBPZA0
Polyamide and cellulose contour bandage 2.5cm x 4m,4,20020200765
Polyamide and cellulose contour bandage 4cm x 4m,4,20020200766
Polyamide and cellulose contour bandage 6cm x 4m,4,20020200767
Polyamide and cellulose contour bandage 8cm x 4m,4,20020200768
Polyamide and cellulose contour bandage 12cm x 4m,4,20020200770
Skin closure strips sterile 6mm x 76mm,4,20140000102
Silk pyjamas 9-10 years,4,20200000169
Silk pyjamas 11-12 years,4,20200000170
Generic Coban 2 Lite multi-layer compression bandage kit,4,20020201074
Gluten free ice cream cones,4,0904010A0AABFBF
Progesterone 1.5% cream,1,131500000BBMTA0
Sodium hyaluronate 0.1% / Dexpanthenol 2% eye drops preservative free,9,21300000112
Generic Evolve Plus emollient spray,4,21220000208
Elasticated viscose stockinette shorts 6-24 months,4,20090001058
Elasticated viscose stockinette shorts 2-5 years,4,20090001059
Elasticated viscose stockinette shorts 5-8 years,4,20090001060
Elasticated viscose stockinette shorts 11-14 years,4,20090001062
Elasticated viscose stockinette shorts 8-11 years,4,20090001061
Generic Tea Tree and Witch Hazel cream,4,190205500BCETA0
Lancets sterile single use 0.3mm/31gauge-1.8mm/25gauge,2,21010900688
Generic Similac High Energy liquid,4,090900000BBKKA0
Gluten free pastry,4,0904010ADAAACAC
Ketoconazole 1% shampoo,1,1309000I0AAACAC
Generic Osmolite HP liquid,4,090402000BBTAA0
Generic Supportan tube feed liquid,4,090402000BBTCA0
Generic Power Health Glucosamine gel,4,091200000BFPGA0
Generic Granny Ann High Fibre biscuits,4,090900000BBKLA0
Simvastatin 20mg/5ml oral suspension sugar free,1,0212000Y0AAAKAK
Simvastatin 40mg/5ml oral suspension sugar free,1,0212000Y0AAALAL
Generic Complan Shake Starter Pack sachets,4,090402000BBTEA0
Ropinirole 1mg/5ml oral solution,1,0409010H0AAAQAQ
Generic Innovative Solutions Pure gluten free potato twists,4,090401000BBQAA0
Generic Innovative Solutions Pure gluten free sugar free custard powder,4,090401000BBQBA0
Generic Pectigel powder,4,010401000BBATA0
Taurolidine 2% nebuliser liquid,1,0501070AAAAAAAA
Blood glucose colorimetric testing tips,4,0601060D0CVAAA0
Adapalene 0.1% / Benzoyl peroxide 2.5% gel,1,1306010Z0AAAAAA
Generic Peptamen Junior Advance gluten free liquid,4,090402000BBTDA0
Generic Bio-Glucosamine + MSM cream,4,190205500BCMUA0
Generic Jointace Max Triple Pack capsules and tablets,4,091200000BFNTA0
Generic Aveeno Intense Relief hand cream,4,130201000BBKXA0
Generic PR Freeze spray,4,1003020Y0AAAAAA
Sodium chloride 3% nebuliser liquid,1,1202020L0AABZBZ
Lactic acid 10% in Aqueous cream,1,1302010K0AAAFAF
Menthol 5% in Aqueous cream,1,1303000AAAAAFAF
Chloroform water double-strength,1,190601000AAAHAH
Generic Adamin-G oral powder 5g sachets,4,090401000AABKBK
Industrial methylated spirit 70% / Glycerol 1% gel,1,1311010A0AAAKAK
Arginine 1.5g/5ml oral solution,1,091101000AACXCX
Vapour-permeable adhesive film dressing with absorbent pad 6cm x 10cm,4,20030100541
Generic Jointflex Extra capsules and tablets,4,091200000BFQNA0
Glycine powder,1,091101000AAERER
Hydrolysed whey protein / Maltodextrin powder,1,090402000AAAKAK
Tafluprost 15micrograms/ml eye drops,1,1106000AKAAABAB
Oopherinum 6c homeopathic granules,1,190203000BBAAA0
Oopherinum 30c homeopathic granules,1,190203000BBAAA0
Agaricus muscarius 10M homeopathic granules,1,190203000BBAAA0
Oopherinum 6c homeopathic liquid,1,190203000BBAAA0
Oopherinum 30c homeopathic liquid,1,190203000BBAAA0
Ammonia solution strong,1,190400000AAGJGJ
Ammonia solution dilute,1,190400000AAGGGG
Morphine 2% gel,1,0407020Q0AAFQFQ
Gabapentin 6% gel,1,0407030ADAAAAAA
Urea 25% ointment,1,1302010U0AAAVAV
Salicylic acid 10% in Yellow soft paraffin,1,1307000M0AABVBV
Eosin 2% solution,1,190800000AABTBT
Zinc oxide 15% and Ichthammol 1% in Yellow soft paraffin,1,1305010J0AAATAT
Tacrolimus 0.0001% mouthwash,1,0802020T0AAAXAX
Generic Pepdite AA Module powder,4,090402000BBISA0
Soya oil 83.45% / Lauromacrogols 15% bath oil,1,130201100AAAKAK
Generic Durafiber dressing 5cm x 5cm square,4,20031700125
Generic Durafiber dressing 10cm x 10cm square,4,20031700126
Generic Durafiber dressing 15cm x 15cm square,4,20031700127
Generic Durafiber dressing 4cm x 10cm rectangular,4,20031700128
Generic Durafiber dressing 4cm x 20cm rectangular,4,20031700129
Generic Durafiber dressing 4cm x 30cm rectangular,4,20031700130
Generic Durafiber dressing 2cm x 45cm rectangular,4,20031700131
Cellulose nasal powder,4,21240000190
Generic QV Gentle wash,4,21220000211
Generic QV Intensive ointment,4,21220000212
Carmellose 1% eye drops 0.4ml unit dose preservative free,1,1108010D0AAACAC
Elasticated viscose stockinette gloves extra small child,4,20090001070
Elasticated viscose stockinette gloves small/medium adult,4,20090001072
Elasticated viscose stockinette gloves medium/large adult,4,20090001073
Almond oil 5% / Lanolin anhydrous 1% cream,1,190205500BBUYA0
Tolnaftate 1% / Benzalkonium chloride 0.1% cream,1,1310020Y0AAALAL
Cetylpyridinium chloride 0.025% mouthwash sugar free,1,1203040C0AAABAB
Generic Boots Max Strength sinus relief Day & Night capsules,4,0407010X0CDANA0
Coal tar solution 6% / Salicylic acid 2% in Emulsifying ointment,1,1305020C0AAFPFP
Laurilsulfate 10% solution,1,1311030A0AAAKAK
Trifluridine 1% eye drops preservative free,1,1103030T0AAADAD
Glycerol 10% eye drops preservative free,1,1108020L0AAANAN
Glycerol 10% eye drops,1,1108020L0AAADAD
Generic Zeroguent cream,4,21220000216
Mrs Crimble's gluten free cheese bites,1,0904010AUAAAAAA
Generic Mrs Crimble's stem ginger cake,4,0904010AVAAAAAA
Generic Mrs Crimble's dutch apple cake,4,0904010AVAAAAAA
Generic Mrs Crimble's dutch fruit loaf,4,0904010AVAAAAAA
Mafenide 8.5% cream,1,1310011K0AAABAB
Fluconazole 150mg capsule and Clotrimazole 1% cream,1,0702020F0AAAPAP
Formaldehyde 6% solution,1,1307000C0AAAXAX
Urea powder,1,190400000AAQZQZ
Vapour-permeable adhesive film dressing with absorbent pad 4cm x 5cm,4,20030100570
Generic Curea P1 dressing 7.5cm x 7.5cm square,4,20031700135
Generic Curea P1 dressing 10cm x 10cm square,4,20031700136
Generic Curea P1 dressing 20cm x 20cm square,4,20031700137
Generic Curea P1 dressing 10cm x 20cm rectangular,4,20031700138
Generic Curea P1 dressing 10cm x 30cm rectangular,4,20031700139
Generic Curea P1 dressing 20cm x 30cm rectangular,4,20031700140
Generic Aquamol cream,4,21220000106
Permeable apertured non-woven synthetic adhesive tape BP 1988 7.5cm,1,20100000717
"Colecalciferol 20,000units/ml oral drops",1,0906040G0AACLCL
Bicalutamide 50mg/5ml oral suspension,1,0803042A0AAACAC
Bicalutamide 150mg/5ml oral suspension,1,0803042A0AAADAD
Felodipine 2.5mg/5ml oral solution,1,0206020F0AAAGAG
Felodipine 5mg/5ml oral solution,1,0206020F0AAAHAH
Generic PaediaSure Peptide liquid,4,090402000BBTGA0
Flutrimazole 1% cream,1,1310020AAAAAAAA
Hydrocortisone 1% lotion,1,1304000V0AABRBR
Glutamine 5g oral powder sachets sugar free,1,090401000AABWBW
Coal tar 6% / Salicylic acid 1% in Emulsifying ointment,1,1305020C0AAFGFG
Zonisamide 50mg/5ml oral solution,1,0408010ADAAADAD
Zonisamide 50mg/5ml oral suspension,1,0408010ADAAAEAE
Generic Zetuvit Plus dressing 10cm x 10cm,4,20031700307
Generic Zetuvit Plus dressing 10cm x 20cm,4,20031700308
Generic Zetuvit Plus dressing 15cm x 20cm,4,20031700309
Generic Zetuvit Plus dressing 20cm x 25cm,4,20031700310
Generic Zetuvit Plus dressing 20cm x 40cm,4,20031700311
Sodium chloride 3% inhalation solution 4ml ampoules,1,21320000102
Elasticated viscose stockinette body suit premature,4,20090001018
Elasticated viscose stockinette body suit 6-12 months,4,20090001019
Solifenacin 10mg/5ml oral solution,1,0704020ABAAAEAE
Solifenacin 10mg/5ml oral suspension,1,0704020ABAAAEAE
Silk boxer shorts 3-4 years,4,20200000199
Silk boxer shorts 5-6 years,4,20200000200
Silk boxer shorts 7-8 years,4,20200000201
Silk briefs 9-10 years,4,20200000195
Silk boxer shorts 9-10 years,4,20200000202
Silk briefs 11-12 years,4,20200000196
Silk boxer shorts 11-12 years,4,20200000203
Silk leggings 5-6 years,4,20200000209
Silk leggings 7-8 years,4,20200000210
Silk leggings 9-10 years,4,20200000211
Silk leggings 11-12 years,4,20200000212
Silk tights adult female,2,20200000215
Hydrocortisone 2% lotion,1,1304000V0AAENEN
Chlorhexidine gluconate 20% solution,1,1311020L0AAAJAJ
Glyceryl trinitrate 0.3% in White soft paraffin,1,0107040A0AAAUAU
